loan_id,customer_id,loan_type,loan_amount,loan_date,status,created_at
LOAN20260305_0001,CUS20260305_00010,Personal,581013.21,2026-01-29,Approved,2026-03-05 17:03:41
LOAN20260305_0002,CUS20260305_00006,Home,806278.63,2026-03-05,Rejected,2026-03-05 17:03:41
LOAN20260305_0003,CUS20260305_00028,Personal,53565.07,2026-02-26,Approved,2026-03-05 17:03:41
LOAN20260305_0004,CUS20260305_00046,Personal,712917.32,2026-03-05,Rejected,2026-03-05 17:03:41
LOAN20260305_0005,CUS20260305_00009,Car,381067.76,2026-03-05,Rejected,2026-03-05 17:03:41
LOAN20260305_0006,CUS20260305_00008,Personal,467687.25,2026-01-25,Approved,2026-03-05 17:03:41
LOAN20260305_0007,CUS20260305_00028,Home,481666.54,2026-02-19,Pending,2026-03-05 17:03:41
LOAN20260305_0008,CUS20260305_00007,Home,651561.17,2026-03-05,Pending,2026-03-05 17:03:41
LOAN20260305_0009,CUS20260305_00019,Personal,309134.65,2026-01-17,Approved,2026-03-05 17:03:41
LOAN20260305_0010,CUS20260305_00001,Home,734801.57,2026-01-08,Approved,2026-03-05 17:03:41
LOAN20260305_0011,CUS20260305_00024,Car,79752.62,2026-03-05,Pending,2026-03-05 17:03:41
LOAN20260305_0012,CUS20260305_00013,Car,681596.78,2026-03-05,Pending,2026-03-05 17:03:41
LOAN20260305_0013,CUS20260305_00031,Car,391085.8,2026-03-05,Pending,2026-03-05 17:03:41
LOAN20260305_0014,CUS20260305_00041,Home,602864.02,2026-03-05,Rejected,2026-03-05 17:03:41
LOAN20260305_0015,CUS20260305_00030,Home,331397.52,2026-03-05,Approved,2026-03-05 17:03:41
LOAN20260305_0016,CUS20260305_00001,Car,346123.49,2026-03-05,Approved,2026-03-05 17:03:41
LOAN20260305_0017,CUS20260305_00014,Home,261465.32,2026-03-05,Approved,2026-03-05 17:03:41
LOAN20260305_0018,CUS20260305_00037,Car,492045.94,2026-01-31,Approved,2026-03-05 17:03:41
LOAN20260305_0019,CUS20260305_00024,Personal,448842.03,2026-02-15,Pending,2026-03-05 17:03:41
LOAN20260305_0020,CUS20260305_00005,Personal,608927.66,2026-02-09,Rejected,2026-03-05 17:03:41
