loan_id,customer_id,loan_type,loan_amount,loan_date,status,created_at
LOAN20260305_0001,CUS20260305_00018,Personal,657909.61,2026-02-04,Pending,2026-03-05 17:01:23
LOAN20260305_0002,CUS20260305_00038,Home,619446.21,2026-01-21,Rejected,2026-03-05 17:01:23
LOAN20260305_0003,CUS20260305_00012,Home,291005.98,2026-03-05,Rejected,2026-03-05 17:01:23
LOAN20260305_0004,CUS20260305_00035,Home,806959.91,2026-03-05,Pending,2026-03-05 17:01:23
LOAN20260305_0005,CUS20260305_00002,Car,608779.1,2026-03-05,Rejected,2026-03-05 17:01:23
LOAN20260305_0006,CUS20260305_00041,Car,716174.69,2026-03-05,Approved,2026-03-05 17:01:23
LOAN20260305_0007,CUS20260305_00027,Personal,138037.04,2026-01-29,Approved,2026-03-05 17:01:23
LOAN20260305_0008,CUS20260305_00013,Home,605630.37,2026-02-13,Pending,2026-03-05 17:01:23
LOAN20260305_0009,CUS20260305_00003,Car,388886.6,2026-03-05,Rejected,2026-03-05 17:01:23
LOAN20260305_0010,CUS20260305_00041,Personal,802614.62,2026-03-05,Pending,2026-03-05 17:01:23
LOAN20260305_0011,CUS20260305_00023,Personal,88677.33,2026-03-05,Rejected,2026-03-05 17:01:23
LOAN20260305_0012,CUS20260305_00019,Home,764838.13,2026-03-05,Rejected,2026-03-05 17:01:23
LOAN20260305_0013,CUS20260305_00030,Car,725824.75,2026-03-05,Pending,2026-03-05 17:01:23
LOAN20260305_0014,CUS20260305_00002,Home,522781.45,2026-01-25,Approved,2026-03-05 17:01:23
LOAN20260305_0015,CUS20260305_00016,Personal,622183.72,2026-03-05,Approved,2026-03-05 17:01:23
LOAN20260305_0016,CUS20260305_00014,Car,455380.7,2026-03-05,Approved,2026-03-05 17:01:23
LOAN20260305_0017,CUS20260305_00021,Personal,484777.98,2026-03-05,Pending,2026-03-05 17:01:23
LOAN20260305_0018,CUS20260305_00009,Car,387708.3,2026-03-05,Approved,2026-03-05 17:01:23
LOAN20260305_0019,CUS20260305_00032,Home,471091.06,2026-01-14,Pending,2026-03-05 17:01:23
LOAN20260305_0020,CUS20260305_00025,Car,797964.05,2026-03-05,Approved,2026-03-05 17:01:23
