loan_id,customer_id,loan_type,loan_amount,loan_date,status,created_at
LOAN20260306_0001,CUS20260306_00047,Car,431350.93,2026-03-06,Pending,2026-03-06 11:58:59
LOAN20260306_0002,CUS20260306_00022,Car,409867.67,2026-03-05,Pending,2026-03-06 11:58:59
LOAN20260306_0003,CUS20260306_00007,Car,333388.45,2026-02-01,Rejected,2026-03-06 11:58:59
LOAN20260306_0004,CUS20260306_00049,Home,435319.19,2026-03-06,Approved,2026-03-06 11:58:59
LOAN20260306_0005,CUS20260306_00018,Personal,546800.15,2026-03-06,Rejected,2026-03-06 11:58:59
LOAN20260306_0006,CUS20260306_00016,Home,383105.58,2026-01-06,Pending,2026-03-06 11:58:59
LOAN20260306_0007,CUS20260306_00002,Car,382321.83,2026-03-06,Approved,2026-03-06 11:58:59
LOAN20260306_0008,CUS20260306_00044,Home,373483.68,2026-01-05,Rejected,2026-03-06 11:58:59
LOAN20260306_0009,CUS20260306_00038,Home,533483.42,2026-03-01,Pending,2026-03-06 11:58:59
LOAN20260306_0010,CUS20260306_00039,Home,529687.37,2026-02-02,Rejected,2026-03-06 11:58:59
LOAN20260306_0011,CUS20260306_00008,Car,463835.0,2026-03-06,Pending,2026-03-06 11:58:59
LOAN20260306_0012,CUS20260306_00017,Home,100882.43,2026-02-24,Pending,2026-03-06 11:58:59
LOAN20260306_0013,CUS20260306_00015,Personal,407248.56,2026-02-05,Rejected,2026-03-06 11:58:59
LOAN20260306_0014,CUS20260306_00036,Personal,518568.13,2026-03-04,Pending,2026-03-06 11:58:59
LOAN20260306_0015,CUS20260306_00035,Car,392610.06,2026-03-06,Pending,2026-03-06 11:58:59
LOAN20260306_0016,CUS20260306_00048,Car,283061.86,2026-03-06,Approved,2026-03-06 11:58:59
LOAN20260306_0017,CUS20260306_00003,Car,335634.31,2026-01-16,Rejected,2026-03-06 11:58:59
LOAN20260306_0018,CUS20260306_00042,Home,206205.2,2026-03-06,Pending,2026-03-06 11:58:59
LOAN20260306_0019,CUS20260306_00010,Car,672221.82,2026-01-08,Rejected,2026-03-06 11:58:59
LOAN20260306_0020,CUS20260306_00042,Personal,759077.1,2026-02-22,Pending,2026-03-06 11:58:59
