loan_id,customer_id,loan_type,loan_amount,loan_date,status,created_at
LOAN20260306_0001,CUS20260306_00014,Home,319295.76,2026-02-08,Pending,2026-03-06 13:33:20
LOAN20260306_0002,CUS20260306_00002,Personal,390161.41,2026-01-20,Rejected,2026-03-06 13:33:20
LOAN20260306_0003,CUS20260306_00028,Personal,354919.4,2026-01-16,Rejected,2026-03-06 13:33:20
LOAN20260306_0004,CUS20260306_00031,Car,889476.8,2026-03-06,Pending,2026-03-06 13:33:20
LOAN20260306_0005,CUS20260306_00027,Home,605237.92,2026-03-06,Pending,2026-03-06 13:33:20
LOAN20260306_0006,CUS20260306_00008,Home,335339.68,2026-01-05,Pending,2026-03-06 13:33:20
LOAN20260306_0007,CUS20260306_00038,Car,356347.02,2026-01-07,Approved,2026-03-06 13:33:20
LOAN20260306_0008,CUS20260306_00017,Personal,784058.55,2026-02-20,Pending,2026-03-06 13:33:20
LOAN20260306_0009,CUS20260306_00026,Car,868086.32,2026-02-25,Rejected,2026-03-06 13:33:20
LOAN20260306_0010,CUS20260306_00028,Personal,176411.49,2026-03-06,Approved,2026-03-06 13:33:20
LOAN20260306_0011,CUS20260306_00035,Home,584958.54,2026-02-04,Pending,2026-03-06 13:33:20
LOAN20260306_0012,CUS20260306_00035,Home,448418.91,2026-03-06,Approved,2026-03-06 13:33:20
LOAN20260306_0013,CUS20260306_00034,Home,582881.48,2026-01-14,Approved,2026-03-06 13:33:20
LOAN20260306_0014,CUS20260306_00032,Home,52609.73,2026-02-08,Approved,2026-03-06 13:33:20
LOAN20260306_0015,CUS20260306_00036,Home,805154.92,2026-03-06,Approved,2026-03-06 13:33:20
LOAN20260306_0016,CUS20260306_00026,Personal,259864.24,2026-03-04,Rejected,2026-03-06 13:33:20
LOAN20260306_0017,CUS20260306_00029,Home,822541.02,2026-03-02,Rejected,2026-03-06 13:33:20
LOAN20260306_0018,CUS20260306_00001,Car,369532.25,2026-03-06,Rejected,2026-03-06 13:33:20
LOAN20260306_0019,CUS20260306_00050,Car,321283.15,2026-03-06,Rejected,2026-03-06 13:33:20
LOAN20260306_0020,CUS20260306_00015,Home,530134.36,2026-02-02,Rejected,2026-03-06 13:33:20
