loan_id,customer_id,loan_type,loan_amount,loan_date,status,created_at
LOAN20260316_0001,CUS20260316_00008,Personal,208471.68,2026-02-22,Pending,2026-03-16 08:15:39
LOAN20260316_0002,CUS20260316_00044,Home,580140.94,2026-03-16,Rejected,2026-03-16 08:15:39
LOAN20260316_0003,CUS20260316_00032,Car,420368.04,2026-03-16,Pending,2026-03-16 08:15:39
LOAN20260316_0004,CUS20260316_00034,Home,324614.2,2026-03-16,Rejected,2026-03-16 08:15:39
LOAN20260316_0005,CUS20260316_00047,Personal,646062.3,2026-01-27,Pending,2026-03-16 08:15:39
LOAN20260316_0006,CUS20260316_00015,Home,348384.79,2026-01-17,Rejected,2026-03-16 08:15:39
LOAN20260316_0007,CUS20260316_00045,Home,280569.79,2026-03-16,Pending,2026-03-16 08:15:39
LOAN20260316_0008,CUS20260316_00012,Car,452124.17,2026-03-16,Approved,2026-03-16 08:15:39
LOAN20260316_0009,CUS20260316_00052,Car,69863.07,2026-03-16,Approved,2026-03-16 08:15:39
LOAN20260316_0010,CUS20260316_00033,Personal,571922.63,2026-03-16,Rejected,2026-03-16 08:15:39
LOAN20260316_0011,CUS20260316_00056,Car,684180.83,2026-03-16,Rejected,2026-03-16 08:15:39
